X1,FILE_ID,ROMANIZED_TITLE,AUTHOR_LAST,AUTHOR_FIRST,DATE,GENRE,NARRATOR,IK_ENT,thought,textlength,pronouns,YulesK,YulesI,GuiraudC,ttr_mean,ttr_sd,ttr_norm,ttr_cumsum,ent_mean,ent_sd,ent_norm,ent_cumsum,nonpara_ent,period,punct,stopword
128,P_dig_010,Yulihun,Xu,Zhenya,1924,POPULAR,0,8.322596722,0.001710936,106959,0.004403557,38.42887208,260.2210124,0.250239329,0.610929569,0.051388461,0.0521557,0.002,5.785384244,0.164041606,0.406434741,0.014,8.322596722,0.046506033,0.206967484,0.278675312
129,P_scn_008,Xuehongleishi,Xu ,Zhenya,1920,POPULAR,1,10.15846365,0.001698298,127775,0.004320094,36.46485392,274.2366669,0.250187344,0.612489488,0.061757523,0.04215327,0.02,5.830038009,0.206997379,0.396583444,0.062,10.15846365,0.04252304,0.191279358,0.291289268
130,P_dig_012,Languihen,Xu,Zhenya,1917,POPULAR,0,10.31008251,0.000651042,67584,0.003284801,21.49966149,465.1236022,0.250118045,0.694889612,0.037016215,0.09169112,0.058,6.039110967,0.104429166,0.586242136,0.042,10.31008251,0.044445729,0.221804801,0.204523562
131,P_dig_003,Jianghuqixiazhuan,Buxiaosheng,NA,1923,POPULAR,0,7.195578416,0.006328662,1036554,0.020124374,62.10098507,161.0280415,0.250274049,0.480693251,0.036028689,-0.051231506,0,5.45559739,0.12022419,0.048188691,0,7.195578416,0.031812759,0.178387465,0.450196528
132,P_scn_014,Jianghudaxiazhuan,Buxiaosheng,NA,1935,POPULAR,0,6.279777526,0.006011006,387955,0.019368226,54.43623002,183.7011857,0.250235443,0.502758446,0.035581344,-0.048587525,0.148,5.543518149,0.115756515,0.038978613,0.01,6.279777526,0.029314079,0.167480851,0.433964614
133,P_dig_013,Jianghuguaiyizhuan,Buxiaosheng,NA,1923,POPULAR,0,7.195578416,0.003334487,54881,0.020280243,55.81668298,179.1579052,0.250432139,0.506026375,0.041781666,-0.028213234,0.244,5.545333501,0.123891572,0.063107558,0.476,7.195578416,0.028675666,0.17981272,0.407102031
134,P_scn_004,Renjiandiyu,Bao,Tianxiao,1928,POPULAR,0,6.113057769,0.005849555,259165,0.028109506,63.01774885,158.6854526,0.25000627,0.44512071,0.031858597,-0.04581694,0.376,5.361668934,0.115089761,-0.007136027,0.136,6.113057769,0.037811174,0.180197311,0.490517814
135,P_scn_005,Huanchaoluanfeng,Bao,Tianxiao,1924,POPULAR,1,10.31008251,0.007408792,251458,0.030820256,53.3666072,187.3830945,0.250481119,0.539002188,0.065588064,-0.023853158,0,5.612197974,0.185096701,0.065120254,0,10.31008251,0.024141646,0.182719664,0.426119382
136,P_scn_003,Xiafengqiyuan,Li,Hanqiu,1919,POPULAR,0,9.462678464,0.005147436,343472,0.019762892,31.00557854,322.5226063,0.250215646,0.583290712,0.041567703,0.007020304,0,5.776488957,0.128206717,0.254642428,0,9.462678464,0.039500665,0.200860922,0.372830085
137,P_scn_006,Jiangzuoshinianmuduji,Yao,Yuanchu,1929,POPULAR,1,8.424091804,0.003669284,145805,0.01223552,31.71743523,315.2840047,0.250073591,0.616356268,0.036454946,-0.001136505,0.134,5.864374348,0.101253028,0.290161927,0.118,8.424091804,0.039304731,0.200412163,0.347159149
138,P_scn_019,Chunmingxinshi,Zhang,Henshui,1928,POPULAR,0,6.642072384,0.00520168,218391,0.022331506,55.98300896,178.6256256,0.250258907,0.489568228,0.035899924,-0.018882918,0.052,5.48128651,0.118150054,0.103585076,0.096,6.642072384,0.033195991,0.1988161,0.447501155
139,P_scn_017,Rucijiangshan,Zhang,Henshui,NA,POPULAR,0,6.113057769,0.006781439,169728,0.023897059,71.99124333,138.9057827,0.250917462,0.475838564,0.029380534,0.010045882,0.03,5.407859592,0.098301821,0.167068999,0.02,6.113057769,0.036822227,0.195972401,0.47011992
140,P_dig_005,Xiandaiqingnian,Zhang,Henshui,NA,POPULAR,0,6.455846055,0.00725792,317033,0.027615422,69.09388144,144.7306157,0.250075016,0.455253751,0.031116248,-0.008437204,0.002,5.370211618,0.110818686,0.168372146,0.044,6.455846055,0.032988696,0.193008,0.473542788
141,P_scn_016,Tianshangrenjian,Zhang,Henshui,1928,POPULAR,0,5.526204223,0.006541452,199497,0.023905121,63.71721367,156.9434604,0.250253993,0.472999815,0.038910498,-0.006979566,0.17,5.403579383,0.144871317,0.171065404,0.246,5.526204223,0.027720358,0.211766317,0.466068483
142,P_scn_020,Rexiezhihua,Zhang,Henshui,1932,POPULAR,0,6.167638642,0.005690246,78204,0.025037083,61.36043802,162.9714572,0.250331823,0.499990586,0.036381405,-0.003779021,0.072,5.50115194,0.124693165,0.162231153,0.07,6.167638642,0.031046604,0.194941052,0.437864747
143,P_scn_021,Daonongcunqu(Shitouchengwai),Zhang,Henshui,NA,POPULAR,0,6.706558523,0.005908308,105614,0.018965289,64.06698238,156.0866398,0.250027289,0.493045792,0.042499319,0.003272393,0,5.480246418,0.130537856,0.161216938,0.002,6.706558523,0.039371939,0.197332107,0.452373256
144,P_dig_011,Danfengjie,Zhang,Henshui,1943,POPULAR,0,6.223202954,0.005204354,174085,0.030031307,67.41569158,148.3334186,0.250879222,0.457686353,0.034869585,0.000717983,0.012,5.378003848,0.117279384,0.154229433,0.004,6.223202954,0.038164582,0.198670463,0.466254788
145,P_dig_017,Beiyannanfei,Zhang,Henshui,1934,POPULAR,0,5.570770386,0.007804921,342220,0.024662498,69.75149076,143.3661115,0.250738309,0.464215932,0.035329692,-0.003801835,0.014,5.385568734,0.123158516,0.192612333,0.032,5.570770386,0.034656002,0.197260861,0.47421829
146,P_dig_004,Ouxiang,Zhang,Henshui,1944,POPULAR,0,5.570770386,0.006995649,164102,0.026763842,65.71151986,152.1803182,0.2502606,0.478324547,0.033187204,0.007714909,0.112,5.437422828,0.110081056,0.184653769,0.148,5.570770386,0.039073737,0.192460127,0.461573497
147,P_dig_006,Zhizuijinmi,Zhang,Henshui,NA,POPULAR,0,5.662094491,0.005849652,485328,0.028815564,66.25510553,150.9317647,0.250807111,0.464513534,0.028808745,-0.00287392,0.016,5.395545917,0.102125036,0.170476597,0.022,5.662094491,0.040491029,0.195332524,0.478799406
148,P_dig_018,Tixiaoyinyuan,Zhang,Henshui,1930,POPULAR,0,5.116855762,0.006442044,225860,0.023833348,66.06605135,151.3636701,0.250142128,0.46303267,0.036357995,5.17E-05,0.002,5.381144747,0.13060435,0.194581459,0.008,5.116855762,0.034372259,0.211232322,0.458940743
149,P_dig_019,Tixiaoyinyuanxuji,Zhang,Henshui,1933,POPULAR,0,5.396683812,0.006310645,56888,0.029197722,72.21244651,138.4802826,0.250198582,0.456593624,0.031392434,0.007247616,0.122,5.347354857,0.121946075,0.199805478,0.166,5.396683812,0.034801925,0.210454461,0.469386338
150,P_dig_020,Huanxiyuanjia,Zhang,Henshui,NA,POPULAR,0,6.337390164,0.007852214,281704,0.02500497,67.52012399,148.1039934,0.250198734,0.451871175,0.032106253,-0.004860783,0,5.361767474,0.114427876,0.20649078,0,6.337390164,0.031679692,0.202989641,0.481305526
151,P_dig_021,Luoxiaguwu,Zhang,Henshui,1930,POPULAR,0,5.396683812,0.007120276,208138,0.028581998,68.78865861,145.3728013,0.250542763,0.452045252,0.033739988,0.003053948,0.09,5.344347386,0.124514995,0.201519179,0.128,5.396683812,0.032730018,0.210536495,0.478141514
152,P_scn_023,Yinhanshangxing,Zhang,Henshui,1931,POPULAR,0,6.977530585,0.005922718,62809,0.022847044,62.58822309,159.7744672,0.250685676,0.466667402,0.041523088,-0.00307851,0.026,5.41306752,0.149805785,0.190351752,0,6.977530585,0.034867246,0.200702273,0.452124274
153,P_scn_022,Zhaoyulingbenji,Zhang,Henshui,NA,POPULAR,0,5.70888866,0.004982129,92330,0.025473844,62.86667167,159.0667954,0.25021772,0.485540998,0.032989167,0.003953619,0.076,5.462186602,0.11089857,0.147213541,0.004,5.70888866,0.038406586,0.198497687,0.458870295
154,P_dig_022,Meiren'en,Zhang,Henshui,1930,POPULAR,0,5.954961447,0.007112028,200646,0.028248757,72.2141335,138.4770476,0.250724178,0.452840732,0.034504555,0.002601415,0.078,5.35942788,0.115677383,0.189147632,0.066,5.954961447,0.029857934,0.197994286,0.480896259
155,P_scn_018,Xinzhanguizhuan,Zhang,Henshui,1931,POPULAR,0,6.279777526,0.005430993,109004,0.02524678,54.61436264,183.1020178,0.250011706,0.510370655,0.029046867,-0.003704912,0.072,5.519266144,0.108092629,0.202285894,0.116,6.279777526,0.027615926,0.213595533,0.39452537
156,P_dig_026,Liyuanwaishi,Chen,Moxiang,1925,POPULAR,0,6.113057769,0.003182076,199241,0.019453827,45.9522014,217.6174306,0.250063158,0.545131575,0.039385277,0.004185937,0.074,5.606959665,0.129598762,0.210228323,0.04,6.113057769,0.044533542,0.222876328,0.375630745
157,P_dig_028,Jiuweihu,Pinghuazhuren,NA,NA,POPULAR,0,5.804836369,0.004035102,345964,0.012082182,50.99018409,196.1161776,0.250089047,0.549032195,0.037093496,0.009445729,0,5.634273195,0.122735215,0.237314353,0,5.804836369,0.029681259,0.197310228,0.322510503
